"scientificName","commonNameFr","commonNameEn","category"
"Aquilegia vulgaris (Vervaeneana Group)","","columbine","Ornamental"
"Arabis alpina","","mountain rockcress","Ornamental"
"Arabis caucasica","","garden rockcress","Ornamental"
"Arachis hypogaea","","peanut","Ornamental"
"Aralia chinensis","","Chinese angelica tree","Ornamental"
"Aralia cordata","","Japanese spikenard","Ornamental"
"Aralia racemosa","","American spikenard","Ornamental"
"Aralia spinosa","","Devil's walking stick","Ornamental"
"Araucaria columnaris","","New Caledonian pine","Ornamental"
"Araucaria heterophylla","","Norfolk Island pine","Ornamental"
"Arbutus andrachnoides","","hybrid strawberry tree","Fruit"
"Arctostaphylos uva-ursi","","common bearberry","Ornamental"
"Arctotis hybrida","","African daisy","Ornamental"
"Ardisia crenata","","hen's eyes","Ornamental"
"Ardisia japonica","","marlberry","Ornamental"
"Argania spinosa","","Argan tree","Ornamental"
"Argemone polyanthemos","","prickly poppy","Ornamental"
"Argyranthemum frutescens","","cobbitty daisy","Ornamental"
"Arisaema engleri","","arisaema","Ornamental"
"Arisaema kiushianum","","arisaema","Ornamental"
"Arisaema serratum","","arisaema","Ornamental"
"Arisaema ternatipartitum","","arisaema","Ornamental"
"Arisaema thunbergii","","arisaema","Ornamental"
"Arisaema triphyllum","","jack-in-the-pulpit","Ornamental"
"Aristea platycaulis","","aristea","Ornamental"
"Aristolochia clematitis","","birthwort","Ornamental"
"Aristolochia gigantea","","pelican flower","Ornamental"
"Aristolochia leuconeura","","birthwort","Ornamental"
"Aristolochia macrophylla","","Dutchman's pipe","Ornamental"
"Aristolochia manshuriensis","","birthwort","Ornamental"
"Aristolochia tomentosa","","Dutchman's pipe","Ornamental"
"Armeria maritima","","sea thrift","Ornamental"
"Armoracia rusticana","","horseradish","Ornamental"
"Arnoglossum atriplicifolium","","pale Indian plantain","Ornamental"
"Arnoglossum reniforme","","great Indian plantain","Ornamental"
"Aronia arbutifolia","","chokeberry","Ornamental"
"Aronia melanocarpa","","black chokeberry","Ornamental"
"Aronia prunifolia","","purple-fruited chokeberry","Ornamental"
"Artemisia abrotanum","","southernwood","Ornamental"
"Artemisia absinthium","","wormwood","Ornamental"
"Artemisia afra","","mugwort","Ornamental"
"Artemisia capillaris","","wormwood","Ornamental"
"Artemisia dracunculus","","tarragon","Ornamental"
"Artemisia frigida","","silky wormwood","Ornamental"
"Artemisia lactiflora (Guizhou Group)","","white mugwort","Ornamental"
"Artemisia ludoviciana","","white sage","Ornamental"
"Artemisia vulgaris","","mugwort","Ornamental"
"Arthropodium cirrhatum","","rienga lily","Ornamental"
"Artocarpus altilis","","breadfruit","Ornamental"
"Artocarpus heterophyllus","","jackfruit","Ornamental"
"Arum italicum","","Italian arum","Ornamental"
"Aruncus aethusifolius","","goat's beard","Ornamental"
"Aruncus dioicus","","goat's beard","Ornamental"
"Arundina graminifolia","","bamboo orchid","Ornamental"
"Arundinaria gigantea","","giant cane bamboo","Ornamental"
"Arundo donax","","giant reed","Ornamental"
"Asarina procumbens","","trailing snapdragon","Ornamental"
"Asarum canadense","","wild ginger","Ornamental"
"Asarum caudatum","","wild ginger","Ornamental"
"Asarum europaeum","","European wild ginger","Ornamental"
"Asarum shuttleworthii","","wild ginger","Ornamental"
"Asclepias curassavica","","blood flower","Ornamental"
"Asclepias hirtella","","prairie milkweed","Ornamental"
"Asclepias incarnata","","swamp milkweed","Ornamental"
"Asclepias purpurascens","","purple milkweed","Ornamental"
"Asclepias quadrifolia","","fourleaf milkweed","Ornamental"
"Asclepias speciosa","","showy milkweed","Ornamental"
"Asclepias sullivantii","","prairie milkweed","Ornamental"
"Asclepias syriaca","","common milkweed","Ornamental"
"Asclepias tuberosa","","butterfly weed","Ornamental"
"Asclepias verticillata","","whorled milkweed","Ornamental"
"Asclepias viridis","","green milkweed","Ornamental"
"Asparagus densiflorus","","Sprenger's asparagus fern","Vegetable"
"Asparagus officinalis","","asparagus","Vegetable"
"Asparagus retrofractus","","Ming fern","Ornamental"
"Asparagus setaceus","","asparagus fern","Vegetable"
"Asperula gussonii","","woodruff","Ornamental"
"Asperula tinctoria","","woodruff","Ornamental"
"Asphodeline lutea","","king's spear","Ornamental"
"Asphodelus albus","","white-flowered asphodel","Ornamental"
"Aspidistra elatior","","cast-iron plant","Ornamental"
"Asplenium ebenoides","","walking spleenwort","Ornamental"
"Asplenium platyneuron","","ebony spleenwort","Ornamental"
"Asplenium scolopendrium","","hart's tongue fern","Ornamental"
"Asplenium scolopendrium (Crispum Group)","","hart's tongue fern","Ornamental"
"Asplenium trichomanes","","maidenhair spleenwort","Ornamental"
"Aster tataricus","","tartarian aster","Ornamental"
"Asteriscus maritimus","","astericus","Ornamental"
"Astilbe arendsii ASTARY PINK","","astilbe","Ornamental"
"Astilbe japonica","","Florist's spiraea","Ornamental"
"Astilbe simplicifolia","","astilbe","Ornamental"
"Astilboides tabularis","","astilboides","Ornamental"
"Astragalus bisulcatus","","two-grooved milkvetch","Ornamental"
"Astragalus canadensis","","milk vetch","Ornamental"
"Astragalus crassicarpus","","ground plum","Ornamental"
"Astrantia major","","greater masterwort","Ornamental"
"Astrophytum myriostigma","","bishop's hat","Ornamental"
"Athyrium asplenioides","","southern lady fern","Ornamental"
"Athyrium filix-femina","","lady fern","Ornamental"
"Athyrium otophorum","","eared lady fern","Ornamental"
"Athyrium thelypterioides","","lady fern","Ornamental"
"Athyrium vidalii","","lady fern","Ornamental"
"Atriplex hortensis","","mountain spinach","Vegetable"
"Atropa belladonna","","deadly nightshade","Ornamental"
"Aucuba japonica","","spotted laurel","Ornamental"
"Aurinia saxatilis","","basket-of-gold","Ornamental"
"Averrhoa carambola","","star fruit","Ornamental"
"Azadirachta indica","","neem","Ornamental"
"Azara microphylla","","azara","Ornamental"
